SCHEMA_OWNER,TABLE_NAME,COLUMN_ID,COLUMN_NAME,DATA_TYPE,NULLABLE,DEFAULT_VALUE,COLUMN_COMMENT,PRIMARY_KEY_NAME,PRIMARY_KEY_POSITION,PARENT_TABLE,PARENT_KEY_COLUMN_NAME,Semantic Type
SALES,ORDERS,1,ORDER_ID,"NUMBER(10,0)",N,,Surrogate key for the order,ORDERS_PK,1,,,Identifier
SALES,ORDERS,2,CUSTOMER_ID,"NUMBER(10,0)",N,,FK to CUSTOMERS,,,CUSTOMERS,CUSTOMER_ID,ReferenceKey
SALES,ORDERS,3,ORDER_STATUS_CDE,VARCHAR2(2),N,OP,"Order status (OP open, SH shipped, CL closed, XX cancelled)",,,ORDER_STATUS,STATUS_CDE,Code
SALES,ORDERS,4,ORDER_DATE,DATE,Y,,Date the order was placed,,,,,Date
SALES,ORDERS,5,TOTAL_AMOUNT,"NUMBER(12,2)",Y,,Order total in CAD,,,,,MonetaryAmount
SALES,ORDERS,6,SHIP_POSTAL_CODE,VARCHAR2(7),Y,,Shipping postal code,,,,,Postal Code
SALES,ORDERS,7,NOTES,VARCHAR2(4000),Y,,Free-form order notes,,,,,Free Text
SALES,CUSTOMERS,1,CUSTOMER_ID,"NUMBER(10,0)",N,,Surrogate key for the customer,CUSTOMERS_PK,1,,,Identifier
SALES,CUSTOMERS,2,CUSTOMER_NAME,VARCHAR2(200),N,,Customer legal name,,,,,Name
SALES,CUSTOMERS,3,EMAIL_ADDRESS,VARCHAR2(320),Y,,,,,,,EmailAddress
SALES,CUSTOMERS,4,IS_ACTIVE,CHAR(1),N,Y,Y/N active flag,,,,,BooleanFlag
SALES,CUSTOMERS,5,LEGACY_REF,VARCHAR2(30),Y,,Unclassified legacy reference,,,,,
